cell,time_hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,0,0.32556218,0.6555559,0.28763995,0.011040194,2.223396,1.0309404,-0.72554207,0.91990423,-1.4875324,-3.0563972,-0.73170936,-3.4655762,-0.12735449,0.6533103,1.5546654,0.31361425,2.5586455,1.1018056,-0.9084772,1.4961215,0.15655412,0.10890197,-0.7016332,-0.2760131,-0.7033374,-1.9046474,0.17830718,-0.064046934,-0.6701731,0.2919615,1.0964568,0.87152207,-1.6615884,0.22086045,-0.17347364,-0.054190565,-0.5918701,-0.000234195,2.1451504,-2.1249015,2.4443843,-0.1112435,-0.9247828,-0.1726872,-1.651773,-1.803033,-0.36350143,0.7651715,-1.1482964,1.6363112,0.4199273,2.4294631,2.138876,-0.44409364,0.14161055,1.8744017,2.0628734,0.28286535,-0.07706618,-1.8654503,-1.1531808,-1.3960272,-1.9944758,-0.45612425,-0.6973016,-2.3491545,-2.685784,-0.42044953,-3.1637394,1.2049202,-2.1732428,-0.10848033,2.1620023,-0.56560725,-1.087596,2.4315479,0.93482363,1.3452021,0.20128055,2.1666133,1.6821254,-0.48509094,-0.58826685,1.0082859,1.0782089,0.23528202,-2.1028256,-3.0028675,-3.0906792,0.2656506,-1.2146435,0.5701822,1.5129614,2.534604,1.574232,4.272087,1.0970433,-1.822823,1.4431263,-0.5816913,0.49104124,0.66468704,0.58908707,1.9099023,2.6628973,1.4603486,-0.016508797,3.6294754,-0.1641089,0.8295377,0.72253346,-0.9877958,-2.477927,1.5436071,-1.8074291,-0.27416825,2.024598,0.7578013,-0.34530422,-0.32343432,-0.13187063,-2.558773,-0.9175784,3.1228123,1.7827151,-1.3730509,2.3749225,2.0452034,-0.5701015,-1.4717919,-1.5740105,-0.23081538,0.5566169,-0.22420324,3.7392936,-4.986544,2.8318894,-0.39341226,-0.52683765,1.1676413,1.1859651,0.3639825,-3.4648085,-2.9739134,1.3749607,1.735985,-0.6450794,-1.212654,-0.5490055,0.9072731,-0.52819854,0.6993498,-2.4559777,-2.0623102,0.93775535,2.1909783,-0.8467834,-0.5842886,0.097027846,1.7000307,1.4076893,-0.14986426,-3.023735,0.8891064,2.4307265,-2.2519996,-1.8198582,-3.3486397,-3.3582356,-1.8535744,-2.0366886,4.720251,-0.41644827,-3.4859767,3.5933459,-0.37756208,-0.34447777,-7.4193683,0.030193329,0.9256905,-2.7725332,-1.6025137,1.0693576,0.54806834,2.6592524,-0.42476678,2.2246482,6.1372128,-4.2815533,-1.0518008,-1.149311,0.68678397,1.8907373,2.7983992,2.2623312,-2.6476367,0.19717911,0.6309992,-3.8801215,0.30116555
1,0,-6.9020457,9.963381,-1.4794056,1.289017,1.8135364,-3.5734024,-8.8570175,-0.2899075,-2.1211715,3.3034031,7.090386,-3.5230987,3.8323095,1.7390136,-2.4166596,3.1517692,-0.047779873,0.4360324,-0.24126245,2.7458568,-0.6878717,-5.3703594,2.520237,3.3927329,3.2499914,1.1241237,3.7383924,4.577288,0.8625876,-9.259626,3.261108,8.539714,4.0498147,-0.32263145,-4.7361765,3.0571606,-0.96176887,-2.574181,-1.9647396,-7.681082,1.6787053,5.921057,11.558056,0.13141306,2.5075204,1.5866934,-4.2525387,-0.9728746,-0.16620752,1.4792054,4.377706,2.4380064,-1.9780463,-6.8070836,-12.120579,-8.573593,2.8053794,-3.8813474,7.472384,-0.10659705,1.034043,-3.8998182,-0.40526575,16.386517,-8.913922,4.88845,11.843753,-4.526009,1.9303066,6.015062,2.399552,9.701685,6.7279124,-8.959886,6.7764897,-11.393969,3.8340223,8.723593,0.35712746,1.2719562,-5.5674434,5.8262744,2.5259025,-13.305665,-0.6245586,2.6841362,-9.9905205,-8.840876,1.2955492,6.903065,1.2254877,6.3456554,-3.605911,-4.8733315,-4.587076,-1.0071449,3.9724205,6.1126394,2.9629319,-1.9448395,3.8824985,-0.9231029,5.518277,0.4937321,7.7838354,-4.004567,-4.258395,1.4794191,-1.7020258,3.079629,-2.8074095,0.69124424,-7.1011844,0.90173686,-4.797863,6.178831,-6.988403,-0.072308585,-3.4754531,-4.433271,14.60044,-5.379264,-4.018151,-8.740318,-3.2358887,6.7572675,2.6593814,-2.68495,5.714598,-0.32295758,2.2803912,-2.5714571,-3.1257296,3.533063,-7.564697,8.889748,0.59055287,-1.5157107,-3.8064632,-6.861605,-0.12479318,-5.1748376,-9.024067,5.1321836,0.99909955,1.9436194,-1.446997,-7.988311,-6.434768,-3.6825085,6.3319664,-0.2291522,-2.4604213,4.022287,-0.9325314,1.7684712,-3.4533763,3.840917,-2.234242,1.8794624,-4.492569,-4.67467,-0.18438353,-1.8950964,1.5321801,3.7762089,-2.9215612,1.0151019,-1.940359,-1.2140057,0.08721168,0.58612514,4.707167,0.0640454,-2.2482195,-1.577695,0.8224655,2.5928576,-7.7765393,2.0504608,-2.7430604,-1.2952509,0.40363133,3.5127952,1.184732,-0.22994266,-2.433104,0.70560646,-2.668263,-2.3928452,3.9928298,-0.4240566,0.7245897,1.3229502,7.6898856,2.526163,-1.9351664,2.069056,-0.15801351,1.4457242
2,0,-4.618286,11.218141,2.2256494,5.9096036,2.5158665,23.742805,-10.892681,-15.002317,-4.6223598,-19.70251,-0.5362341,3.8296666,-8.706187,-11.869161,-1.2087218,-9.100765,1.0482,4.5901375,10.439233,-3.7841816,-10.615408,-6.9934683,13.788304,-10.551429,-2.5123827,11.172317,-9.236518,-15.495651,-4.4637046,-10.03993,-13.724458,-25.421404,-7.8972774,0.9907902,-22.430128,-5.799236,1.2057238,-5.151221,2.7457252,2.3086214,1.2139052,-1.8528794,3.6115928,-2.713462,8.785212,6.9250355,5.0939107,5.848958,-1.1337912,-2.5553637,-16.838657,-9.748708,19.015846,0.23215465,1.3541669,0.7673177,1.6094888,-0.783794,-2.853741,-1.9066563,-13.089016,-0.18750788,-3.4971223,7.5570645,5.789722,-1.0762211,10.454929,-1.5566307,6.6895823,3.853972,-5.05009,-0.2773781,-4.204522,-11.047835,-0.5544989,3.129369,2.2391236,0.73768616,-3.3475494,-6.7933154,-2.9216743,1.0742552,-5.0761166,-3.8889875,-1.5472745,-2.1863432,0.61082685,-6.3163147,-4.7336545,6.91929,-2.0903435,-1.2360041,0.38455218,-0.73999196,1.7047021,-5.138272,0.7696768,5.059294,0.46859035,-2.0668826,0.6490478,-2.3695598,-0.24960305,0.5521998,0.97646385,-1.5105352,-1.8455524,-2.7214863,4.202926,-1.095133,-2.894543,3.2144911,3.7910492,0.609616,2.1054707,-0.6414764,1.3850888,-0.21478875,2.118577,-1.8332793,2.5978427,-0.64193034,1.4959679,-0.74956113,1.9487331,-0.8161782,0.19143412,0.0769056,5.860347,-0.31996372,-0.1040494,-1.8263685,-1.2036468,-1.203301,2.5636644,0.37217098,-2.1877787,0.6828508,0.10445915,2.9377332,-0.09838342,-3.7627935,3.5155604,3.475486,-0.7925228,-3.562879,-0.4664479,-2.0454447,2.174621,-3.268658,2.3614547,-0.3066224,0.08732769,-3.2584562,-3.1571455,-0.681794,0.78782845,-2.5066004,1.3906307,-3.2349794,0.65466696,1.1271384,-2.0164936,0.63588864,-0.74532014,0.011569476,-2.096646,-2.7944734,0.691848,-1.4783547,-0.4197284,1.6298728,-0.0873441,-1.0546286,0.073882245,-0.5724977,1.5670173,1.3402153,0.8253336,-0.355264,-1.7913299,1.5147176,0.28379053,-0.6422924,1.7812994,-0.3315255,-0.07638564,-0.21767758,0.95960855,1.4362639,1.6559043,0.42160708,-0.9004914,-0.67844975,-1.9241991,-1.2605791,2.2747717,0.07225483,0.086412385,2.184412
3,0,-4.4789863,7.6009326,0.038568135,-1.1750402,-0.5385958,2.1259594,-0.54125834,-0.8323425,-0.4830162,-0.9115143,0.73138195,1.0463024,-0.29295728,-0.18122882,-1.2455633,2.1316326,1.7326232,1.6171979,0.13158008,0.55779487,0.4341346,-0.31410664,-0.79411805,-0.64313596,1.2725607,-0.5652725,-0.0856162,0.47301415,2.1314094,0.33013067,-0.2435384,-1.4541578,-0.8866609,-0.88768995,-0.98781794,0.107662864,-0.29104462,1.1350429,-1.2840945,-1.3333733,-0.28381535,-0.6999576,0.30590057,-0.53230894,0.5599748,-0.60423577,-1.4408226,0.6244293,-1.2385246,-1.7429886,0.7391473,0.7061081,0.9201551,-0.1614744,1.0128299,0.8282717,-1.0531923,1.7492698,0.9302111,1.2672793,0.76185304,-0.858884,-0.23641907,-0.36224982,0.69308925,-0.7629824,-1.8316764,-1.8313308,-1.2409278,-0.37576672,-0.35470593,-0.03868734,-1.2029552,1.0228827,-0.83901024,-0.4603561,0.6403443,-0.63240844,-0.5009946,-0.8795766,2.2532902,-0.43981156,-1.9719573,-1.3239071,0.8431022,-0.6354043,0.43249324,-0.9495446,-1.5879428,-1.8528469,-0.8641289,-0.48449978,-0.90156764,1.3444175,1.4428314,0.32374543,0.2092345,0.49483243,-0.47923145,-1.0418358,1.5388038,1.1342487,1.223113,0.7752929,1.8570375,0.78291744,1.4348408,-0.07597411,-2.1841712,-1.3448559,-0.7208509,-0.40635177,0.2725725,1.1081524,-0.98724765,-0.6605156,1.7060441,-0.56530595,1.7072657,-0.8036207,-1.4049792,-2.0252712,-1.721947,0.19184218,-1.6183524,-2.142465,0.65926516,1.8118104,0.06880096,-2.3182976,0.05168888,-1.2421896,-0.15002243,0.59367,0.5548487,-2.5003185,0.6108414,1.0221945,0.20445485,0.45218202,-0.9579823,0.9558687,-0.9124154,-0.33266428,0.68773574,1.748535,-0.14967836,-0.6792769,1.6473849,1.402596,0.45761546,1.2975396,1.4438874,1.845041,0.44886908,0.7322639,0.14311802,0.1732631,1.0427479,-1.7856768,-1.1263163,3.48796,-0.999638,2.8576565,1.8599517,0.7378075,-0.60051847,-0.4398615,0.13243791,-0.08140649,-0.19346182,0.34834546,0.34589776,-1.8655745,2.454021,-0.038413662,-0.4050232,-3.4690104,0.7328335,-0.072930045,0.5709034,0.26175296,-0.48139253,3.037279,1.854885,-1.0073197,1.6493033,-0.37801862,-1.9595143,0.6587522,-2.1521316,-0.8257593,-2.3516607,0.6392802,-0.99292374,1.0296484,2.6689458,0.002921348,-1.4431572,1.243401
4,0,6.4896193,5.539863,2.2963202,-2.8749297,-0.009226522,2.3649728,-1.1621795,0.56480837,-4.4748826,-4.184178,-0.542391,-1.5838969,1.2259446,-0.7505605,0.59925324,-1.3415602,7.118785,3.4693804,-0.6225709,0.34291086,0.5804328,-0.9020525,-0.12191246,-4.075128,1.4524727,-1.8498437,-0.55556756,2.8770683,-0.45021632,-1.8359762,-2.3643477,-0.6064733,-0.3704605,0.97610915,2.5277338,0.659218,1.5585576,0.63783115,5.5109067,1.8683952,5.4744153,2.224196,1.8798585,-0.15716343,0.018055983,1.5806025,-2.421368,0.89185005,-0.85592395,3.5312617,2.7754457,2.3807914,-0.35174778,1.8706872,2.8917851,0.7853885,-1.7465364,4.3888726,0.37067965,-3.6804693,3.2687507,-0.5116852,1.6465654,-2.0731566,0.87155926,0.31760818,-7.44725,-2.6109765,-0.28642535,2.1379447,-2.5746057,2.5810494,5.8407345,2.551719,-1.7134119,-6.0134516,-5.7847495,-2.9517372,-4.063388,0.57830256,-1.2801071,-0.39069182,-8.024255,-2.7996237,-0.91904366,-0.5828951,3.3748338,0.43810752,-2.3887057,2.457893,-0.66793525,-4.1647515,5.9848504,3.86246,4.0238724,1.4304152,-1.1993248,-3.8531337,6.9098773,-6.5095267,-4.6711884,4.1942677,4.83467,-3.214118,5.8321185,-0.97404015,-0.50591975,2.189988,-1.5988883,-1.1831535,7.7814593,-2.7209673,-0.16538739,-2.4663312,3.6961555,2.0474,0.104488336,13.173983,-1.0262351,-0.949513,7.326953,0.24302164,3.7121859,1.9482366,4.1851068,-5.3104644,4.224824,1.8279152,14.195027,1.8397973,8.5941105,-5.923827,9.491783,-8.5600815,4.22674,-13.523932,-1.2273989,-14.281868,-3.730243,-5.5071425,-0.55816954,2.0516021,-6.2485394,-1.3687445,10.322201,-4.358099,-5.897563,-0.84448195,2.0711093,3.670813,5.440311,7.0301223,-6.0510244,-3.9545438,2.1957672,-2.4481552,7.6720047,6.0703974,-10.096086,0.42922622,3.5988913,-6.6978564,1.2865796,0.1413977,8.106629,9.163557,4.552764,-8.450033,-1.5893762,0.75254816,-4.0260053,5.458951,8.857261,-2.5998383,-1.3923999,0.7423579,-4.3345933,-2.133474,9.390616,-0.72800857,1.3589051,4.318791,5.5383883,6.708658,0.9468762,0.016767712,-2.256843,1.4354057,-1.7862797,1.7530308,2.8748484,0.31520545,-0.14329253,-1.2398677,-5.3353524,-4.600212,-5.5095787,3.0327408,1.4465357,1.5937185
5,0,4.5591383,13.523665,9.609357,-3.6085336,-0.2684957,33.707584,-9.855586,66.36722,46.897404,0.60926276,18.510035,-6.313534,-1.9558161,2.6804082,-7.2872424,-16.664013,4.3956084,3.5996823,-8.678741,-2.0435486,9.119061,0.013824576,-1.770874,-0.5390897,-2.9440594,-1.8668207,-2.284479,-0.3817614,-0.29817656,3.7813094,1.6675706,-2.408463,-2.8170621,-2.8042107,1.4292116,-0.86503804,4.148155,-5.7009234,2.5730493,3.0611517,-1.1369324,0.49745533,0.09524923,0.9739511,4.6444974,-1.7180613,0.89106417,1.1612719,-0.23611484,-1.2559651,-3.0309904,-2.3393621,1.143361,-0.65332925,0.16284113,-2.0709362,-0.2640018,0.8915187,-0.14607628,-0.5617335,0.93254274,1.8227787,3.511371,-0.5944368,-0.34846753,0.9310663,1.8317554,-1.309551,1.8832302,2.2436402,-1.5205636,-1.892116,-2.0573242,-1.9710112,1.5222429,-2.7697086,0.17567831,-0.046781197,0.55352706,-2.1748934,-0.8122564,-0.5747201,1.8383543,4.28727,3.2520063,-0.5916708,-2.3355305,-1.2354587,1.3771601,-0.24660878,1.6570873,0.29754388,-0.67908424,-1.0985374,-0.05852204,0.38531032,-0.48629224,2.051248,0.022482958,-1.8728802,1.1871991,0.28661987,1.625747,0.84252906,-1.1159155,-1.34626,1.8848767,1.7760599,-1.2724245,3.2301733,0.9740204,1.283949,-0.8472114,0.6805501,0.6275877,-0.06053701,0.5109469,-0.6037053,0.000864177,-1.146196,1.318701,-3.0991375,1.6421369,-2.0488036,-0.56928486,-1.5109327,-1.8441929,-0.9697116,0.9229314,1.3380463,-1.1285037,0.5686761,-0.0892934,-1.1125826,-0.31213346,0.5225771,-0.017969362,-0.78932613,0.40734386,-0.23367457,-0.57641184,1.1749631,1.5523598,0.36456713,0.7574125,-0.6883253,-0.8231523,1.4450504,1.3525276,0.4479137,0.18311769,0.54490817,1.1994885,1.0917298,0.4149608,-1.1729064,-0.004268223,-1.0821637,-0.6550685,-1.0364972,0.09334572,0.80708826,-0.19565824,0.10036649,-0.9007431,1.220107,0.30945748,-0.012206733,-0.05197197,0.9329573,-0.05557951,-0.13484518,-0.63397753,0.50346226,1.3042442,0.14517811,-0.1747171,0.75366336,-0.69536376,0.08488922,-0.5380586,0.5550175,0.92093444,-0.79661757,0.5469468,-0.7382065,-1.4454716,-0.10766484,0.3414603,0.27354467,0.84271467,0.40840492,0.51321864,-0.23370531,-0.6529666,-0.9007568,1.1240512,0.931442,0.23233299,-0.7003228
6,0,-2.2057676,11.532394,0.9745365,0.18703482,2.5373635,6.265143,2.4600425,-1.6571535,0.2952983,1.4255339,-0.46224236,-2.0692468,-1.2986201,-3.1744127,1.0231422,3.546532,2.9312992,0.19688697,-1.5315034,1.6785486,-1.0967584,3.2618482,0.14758162,-4.9697623,-0.24459319,-0.7627595,2.772375,-2.0920265,4.9641714,-2.0192976,-0.40553492,3.0304792,-2.0031092,-2.3546422,-2.2210114,4.083306,-1.1953624,1.0003676,-2.0379105,-3.3124082,-0.7307957,-3.9983244,1.5868776,-3.0414674,-0.5605925,-1.2360396,1.3260247,-1.0821141,-1.1185895,0.69563895,4.25574,2.8899138,-0.14243953,0.82494617,0.55958027,2.939227,-1.8232554,0.31193703,-7.004685,4.1018496,0.25268778,2.4255238,1.7423844,0.6439978,-2.1137187,-7.3768425,-0.21692866,-0.16436581,-6.4944997,3.5063405,-0.2775182,1.888339,8.07139,-1.8065177,-3.874135,2.9722078,-6.8050594,0.75600433,1.5153273,0.88094735,2.765152,-1.5053282,2.1594255,-1.5333865,3.845402,0.9682784,5.751978,-1.994894,-4.7395473,0.792602,-2.7516282,0.8834292,0.4840522,-8.653658,1.266316,0.6005466,-0.41233408,-6.1319985,-3.435276,7.000194,-3.3622365,0.31374446,6.250768,6.4659142,-8.771074,5.712809,-4.16088,-4.422783,-9.012969,2.5592196,10.219041,-5.409662,0.1858026,-2.761786,3.149044,-4.226313,-1.6937793,-6.5331254,9.498224,3.735879,-7.071056,-0.86560535,-0.5163396,-4.5794053,4.64838,9.37271,6.161791,0.32435405,1.9822811,-4.6513343,-1.850599,2.1525147,-2.9374921,-2.5297816,-1.3987905,-1.2037935,-5.0515094,1.3319466,6.6542,1.2015983,-5.970534,0.4928786,-1.4599295,-0.12978914,3.6442275,0.7540813,4.326608,-4.3044357,-6.8920217,-2.0382156,12.6256,-6.73462,2.368988,3.7684178,-0.17668565,0.85370904,-1.2820544,-2.1124506,5.8792872,-9.729542,-5.4368043,-3.5683825,-6.267157,6.572508,-2.7866716,11.325857,4.4027147,-0.014268462,9.835033,-3.0247753,-4.067358,7.192519,-3.9415154,-2.1945708,5.691127,-1.6239754,-1.6153368,6.478485,-4.327017,-8.460271,-6.5194235,4.8753724,1.2194784,2.0839348,2.9532988,-10.841047,-2.4608219,-1.542035,3.6149871,3.6341782,4.031881,-4.4774456,11.88792,0.35864815,-3.559718,0.810141,-2.304905,-2.3614862,6.306064,-7.605275
7,0,-6.5061846,15.087312,1.4063084,0.4393154,-0.08589838,15.16357,-5.0039525,-13.242842,-1.7805109,-5.117844,1.9589158,2.917612,-3.8708038,-4.7858143,-6.3551154,0.035534248,14.251299,4.2957754,5.624484,10.057314,-3.2236197,6.2067947,-2.6121068,-3.946845,10.66338,-4.4406376,-20.915869,-1.5044361,3.540445,1.7459546,-10.328127,-8.132845,-15.973004,2.8840663,2.3294687,13.93336,-0.57687473,4.835571,-10.557985,8.363388,-8.792193,4.6599956,-1.4654535,13.403178,10.862147,-13.132929,1.6462363,-4.949552,-1.0605017,-2.7032502,1.0994636,-9.797216,-5.834809,4.514096,0.76392573,1.4916769,7.22493,5.28115,-1.6628096,3.1194375,21.226208,-2.0732782,-4.102758,-3.8312852,-1.0934849,12.748464,-1.3063884,6.264754,2.1750073,-6.1451573,9.498938,12.429214,8.589131,2.4752986,7.23042,-6.3991585,-2.488937,-3.86153,6.909599,3.1713588,-8.982774,-1.7983243,5.8025527,1.6848772,1.0549276,-5.3183966,-1.5706784,6.616317,-2.074311,-13.995823,-1.0120883,6.296146,0.21533418,4.046129,5.7925076,-2.717799,-0.7052773,3.123589,2.518959,-1.804986,6.516044,0.7358326,-2.1274788,-0.807668,0.019405352,3.4786751,3.334799,6.8445597,-0.601889,4.758018,2.5798118,2.7316644,-7.7604723,7.3324246,2.8149009,6.4642735,-0.54963535,0.7526772,5.828952,3.9225981,-2.2859883,-0.19419686,-2.015332,-1.4290177,-3.919462,3.0578997,4.924457,-5.3156056,-3.0974212,-0.78846747,-1.8900172,-1.3105458,-0.17922664,-1.6052392,3.1777692,1.5558037,-2.1923208,5.817347,1.215734,0.25836983,1.1862406,1.2779624,-0.95829135,3.4600904,-4.601891,1.1732163,3.6460059,2.3604069,-0.55680525,2.8010712,-1.3482078,0.11490635,-0.060256436,1.7805804,1.5192181,-3.1086278,1.5848205,-3.4472592,-3.1852381,0.82695305,-0.64425206,1.623187,1.0274105,-2.3867736,0.43037975,1.0764982,2.3259106,0.747278,-2.350963,1.7005959,0.48406807,-0.09587412,2.7482574,-0.76361054,1.3551456,-0.8710769,0.35189626,-1.1441376,2.243602,-0.07698593,2.638368,0.6549268,-1.8307098,1.8070487,-2.4377618,-1.9671941,-0.62538517,-0.23249115,-1.5025306,-1.7914255,3.969282,-2.5591202,0.96152514,1.3262424,-0.039029878,0.82791305,-3.6877153,-0.8479446,-0.67315376,0.113439515
8,0,-5.562178,8.63305,-0.33616355,0.021257533,0.39045987,0.20924887,1.108911,0.25538498,-0.06128664,2.186848,0.870082,-0.0780967,1.9463505,-0.25301245,0.9634827,2.942288,0.6867388,1.3961705,0.4165512,0.5746438,-1.5479957,-2.0981183,-2.6520822,0.021686321,2.0318356,0.19833146,2.125612,-0.5925548,1.2462984,-0.09087458,-0.4264634,0.5245064,1.1114768,2.087256,2.0288813,-0.16832034,0.51787823,0.58665675,1.0125228,-1.2811064,1.8065612,-1.4333369,1.6812845,-1.3628967,2.8383956,0.35611472,0.7929438,-2.4254189,-0.771228,-0.82311434,0.7625075,1.8383907,-0.9994731,-0.9816313,-0.67529774,-1.4502474,0.4858256,-0.03771565,-0.52446204,0.42400283,-3.1429255,-0.8790572,0.006475293,-1.6447427,0.26070106,1.9798521,-0.45524627,0.3898147,-1.2402731,1.7698764,0.48162475,-0.4820112,-1.4625438,0.34279573,-0.23825464,0.023095515,-0.86304355,1.0932934,-0.7719321,1.2422689,0.30865267,0.5071194,0.38455933,-2.8696523,0.011985308,0.37425163,-2.6556506,0.67589784,-1.6586316,-0.13097952,-2.9008343,-3.2588832,0.016552268,-0.41558817,1.1958781,-0.3832919,0.3879409,-0.33917972,-0.31837928,-0.43760717,0.2580783,1.0173612,0.26273435,-0.7451463,2.8917649,2.2447438,2.6811829,-1.1786537,-0.20726974,-0.8436288,0.8153023,-0.18132408,-0.6856634,-0.628595,-0.4901409,-0.98408175,-0.436748,-0.3150995,0.8308408,0.24867342,0.83345187,-1.0290861,0.67325014,0.8134559,0.74254906,-0.02930439,0.49541318,-0.5488477,-0.23847382,-0.6293346,0.8740441,-2.2025185,-0.14173052,-4.110433,3.9761944,0.79005843,-1.2841905,2.0072007,0.7648004,2.1469786,-1.1065816,-1.9677153,-0.86735255,3.6415884,0.81518036,2.3167346,1.3762532,2.3430576,3.074793,3.6911054,-2.2134433,2.5440488,-2.8529708,2.2981105,0.028726026,0.5391108,-2.0898752,-0.4424567,0.55938417,0.3577454,0.44660124,-2.0044658,-1.3859826,-2.0984178,2.0813437,0.23217873,-1.3000592,-0.9562451,0.7039267,-2.0907147,4.553934,0.49695897,0.86199254,-0.86785734,1.8690995,-0.75892955,1.7788026,1.2772726,-0.39111558,-1.1908271,-0.6785291,-0.20096898,2.3833902,3.3678544,1.2868805,-0.7246072,-1.617852,0.10579658,-0.4899571,-0.48395696,-3.2268288,-1.0677149,1.1534885,-0.68418473,2.3801496,0.6028621,-0.7739827,-6.0793214,0.2332362,0.3188061
9,0,-3.622621,3.9193425,-0.41863507,2.2278936,1.0803353,4.0883403,1.6023643,-2.4034448,0.76878417,-0.72910583,-0.04397825,-1.5276906,1.0699843,0.46144027,2.5097249,1.0236263,1.8194239,1.6313938,0.32184768,2.1778288,-0.49082917,-0.30551407,-2.9896777,-0.47307834,2.3742096,0.10610703,0.059018325,1.1288188,1.9332722,-2.4532635,-0.03470431,3.2051263,-0.12092043,0.13318369,0.62097365,1.1491717,-0.07771026,1.285151,0.5266557,-1.9235317,-0.75663865,1.4446905,1.4882692,-1.0764009,-0.08204686,-1.8609098,-1.2079775,1.9491199,0.81012356,0.31303176,1.1442934,-0.13242349,-0.22930455,0.9879746,-0.6817176,-1.1602693,0.43694428,0.115746945,0.3816195,0.06377261,0.31838247,0.27152765,0.26182628,-1.6963497,-0.4701793,0.21325941,-2.0063536,1.2871515,0.45470142,1.5024513,0.40277234,1.1200066,-0.37701336,0.1668674,-1.439788,-0.5271677,-1.708394,-1.1223435,-1.3080701,-1.4874712,-0.66932124,0.18554263,-0.007152051,-0.89535964,-1.0206592,-0.2704775,-1.0937796,-2.1752317,-0.54567987,0.9659072,-0.7563291,-0.12439604,-1.0108799,0.131919,-0.35799274,0.059276197,-0.66363204,3.6570883,0.93897724,-1.0461313,1.664396,-0.04478086,2.3309002,1.1474941,-0.5130027,0.8995203,0.26940322,1.5664599,-0.9267576,0.45465446,-0.78771764,0.6492055,1.237478,-1.6590009,-0.9143546,1.23843,-1.8191682,1.1720551,0.77547663,-0.67933387,-0.17351852,1.0663116,-0.5458907,1.3221278,-0.25845248,-0.4361739,-0.06373043,-0.2870435,-0.19715248,-0.9430319,1.889497,-3.00259,-0.40568322,-0.009797269,-1.576847,0.6662663,0.029107982,1.763111,1.7222471,-0.22346012,-0.6298421,0.160163,-1.6543385,0.8520527,0.003522818,1.47622,-0.14045244,0.40253198,0.48764312,0.8631829,1.0100361,1.0304778,1.7294178,1.1162016,-1.126536,-0.6678315,0.351724,0.7889494,1.7365662,2.0424066,-1.060184,-0.20431738,0.45053947,-1.0371473,1.3642918,-0.029555509,-0.63332963,-2.0024612,-1.1737564,-0.712468,-1.9392449,2.8422353,-1.4893568,1.794196,2.0669186,-0.54030025,-0.8550458,1.0140278,3.7905352,-1.2056503,-0.7963139,-0.6141676,-0.3753978,1.1464266,0.7836766,-1.6536105,0.5969282,0.42907676,-0.7653825,0.63263834,0.22382347,0.58422774,2.189417,-1.3144938,1.635483,1.8620636,-0.7390887,0.22853154,-0.32228887,-0.48893535
