"","x"
"1","Erythroid_CD34+ CD71+ GlyA-"
"2","Hematopoietic stem cells_CD133+ CD34dim"
"3","Colony Forming Unit-Monocytes"
"4","Colony Forming Unit-Monocytes"
"5","Hematopoietic stem cells_CD133+ CD34dim"
"6","Megakaryocyte/erythroid progenitors"
"7","Erythroid_CD34- CD71+ GlyA-"
"8","Hematopoietic stem cells_CD133+ CD34dim"
"9","Hematopoietic stem cells_CD133+ CD34dim"
"10","Hematopoietic stem cells_CD133+ CD34dim"
"11","Common myeloid progenitors"
"12","Hematopoietic stem cells_CD133+ CD34dim"
"13","Hematopoietic stem cells_CD133+ CD34dim"
"14","Colony Forming Unit-Monocytes"
"15","Common myeloid progenitors"
"16","Hematopoietic stem cells_CD133+ CD34dim"
"17","Megakaryocyte/erythroid progenitors"
"18","Hematopoietic stem cells_CD133+ CD34dim"
"19","Hematopoietic stem cells_CD133+ CD34dim"
"20","Hematopoietic stem cells_CD133+ CD34dim"
"21","Erythroid_CD34+ CD71+ GlyA-"
"22","Common myeloid progenitors"
"23","Erythroid_CD34+ CD71+ GlyA-"
"24","Hematopoietic stem cells_CD133+ CD34dim"
"25","Megakaryocyte/erythroid progenitors"
"26","Erythroid_CD34+ CD71+ GlyA-"
"27","Hematopoietic stem cells_CD133+ CD34dim"
"28","Erythroid_CD34+ CD71+ GlyA-"
"29","Erythroid_CD34+ CD71+ GlyA-"
"30","Mature NK cells_CD56- CD16- CD3-"
"31","Myeloid Dendritic Cells"
"32","Early B cells"
"33","Megakaryocyte/erythroid progenitors"
"34","Early B cells"
"35","Eosinophils"
"36","Hematopoietic stem cells_CD133+ CD34dim"
"37","Colony Forming Unit-Monocytes"
"38","Common myeloid progenitors"
"39","Colony Forming Unit-Monocytes"
"40","Myeloid Dendritic Cells"
"41","Hematopoietic stem cells_CD133+ CD34dim"
"42","Hematopoietic stem cells_CD133+ CD34dim"
"43","Hematopoietic stem cells_CD133+ CD34dim"
"44","Megakaryocyte/erythroid progenitors"
"45","Common myeloid progenitors"
"46","Hematopoietic stem cells_CD133+ CD34dim"
"47","Early B cells"
"48","Megakaryocyte/erythroid progenitors"
"49","Hematopoietic stem cells_CD133+ CD34dim"
"50","Hematopoietic stem cells_CD133+ CD34dim"
"51","Erythroid_CD34- CD71+ GlyA+"
"52","Hematopoietic stem cells_CD133+ CD34dim"
"53","Hematopoietic stem cells_CD133+ CD34dim"
"54","Common myeloid progenitors"
"55","Erythroid_CD34+ CD71+ GlyA-"
"56","Hematopoietic stem cells_CD133+ CD34dim"
"57","Hematopoietic stem cells_CD133+ CD34dim"
"58","Erythroid_CD34+ CD71+ GlyA-"
"59","Myeloid Dendritic Cells"
"60","Common myeloid progenitors"
"61","Hematopoietic stem cells_CD133+ CD34dim"
"62","Hematopoietic stem cells_CD133+ CD34dim"
"63","Common myeloid progenitors"
"64","Hematopoietic stem cells_CD133+ CD34dim"
"65","Common myeloid progenitors"
"66","Hematopoietic stem cells_CD133+ CD34dim"
"67","Hematopoietic stem cells_CD133+ CD34dim"
"68","Common myeloid progenitors"
"69","Hematopoietic stem cells_CD133+ CD34dim"
"70","Monocytes"
"71","Hematopoietic stem cells_CD133+ CD34dim"
"72","Plasmacytoid Dendritic Cells"
"73","Colony Forming Unit-Megakaryocytic"
"74","Megakaryocyte/erythroid progenitors"
"75","Erythroid_CD34+ CD71+ GlyA-"
"76","Hematopoietic stem cells_CD133+ CD34dim"
"77","Hematopoietic stem cells_CD133+ CD34dim"
"78","Erythroid_CD34- CD71+ GlyA+"
"79","Plasmacytoid Dendritic Cells"
"80","Common myeloid progenitors"
"81","Erythroid_CD34+ CD71+ GlyA-"
"82","Plasmacytoid Dendritic Cells"
"83","Hematopoietic stem cells_CD133+ CD34dim"
"84","Hematopoietic stem cells_CD133+ CD34dim"
"85","Hematopoietic stem cells_CD133+ CD34dim"
"86","Early B cells"
"87","Hematopoietic stem cells_CD133+ CD34dim"
"88","Hematopoietic stem cells_CD133+ CD34dim"
"89","Hematopoietic stem cells_CD133+ CD34dim"
"90","Erythroid_CD34+ CD71+ GlyA-"
"91","Hematopoietic stem cells_CD133+ CD34dim"
"92","Common myeloid progenitors"
"93","Common myeloid progenitors"
"94","Hematopoietic stem cells_CD133+ CD34dim"
"95","Early B cells"
"96","Mature B cells class switched"
"97","Myeloid Dendritic Cells"
"98","Common myeloid progenitors"
"99","Common myeloid progenitors"
"100","Hematopoietic stem cells_CD133+ CD34dim"
"101","Granulocyte/monocyte progenitors"
"102","Erythroid_CD34+ CD71+ GlyA-"
"103","Megakaryocyte/erythroid progenitors"
"104","Hematopoietic stem cells_CD133+ CD34dim"
"105","Hematopoietic stem cells_CD133+ CD34dim"
"106","Plasmacytoid Dendritic Cells"
"107","Hematopoietic stem cells_CD133+ CD34dim"
"108","Erythroid_CD34+ CD71+ GlyA-"
"109","Hematopoietic stem cells_CD133+ CD34dim"
"110","Granulocyte/monocyte progenitors"
"111","Hematopoietic stem cells_CD133+ CD34dim"
"112","Common myeloid progenitors"
"113","Common myeloid progenitors"
"114","Hematopoietic stem cells_CD133+ CD34dim"
"115","Hematopoietic stem cells_CD133+ CD34dim"
"116","Hematopoietic stem cells_CD133+ CD34dim"
"117","Hematopoietic stem cells_CD133+ CD34dim"
"118","Hematopoietic stem cells_CD133+ CD34dim"
"119","Hematopoietic stem cells_CD133+ CD34dim"
"120","Erythroid_CD34+ CD71+ GlyA-"
"121","Hematopoietic stem cells_CD133+ CD34dim"
"122","Myeloid Dendritic Cells"
"123","Common myeloid progenitors"
"124","Common myeloid progenitors"
"125","Colony Forming Unit-Monocytes"
"126","Hematopoietic stem cells_CD133+ CD34dim"
"127","Hematopoietic stem cells_CD133+ CD34dim"
"128","Erythroid_CD34+ CD71+ GlyA-"
"129","Colony Forming Unit-Monocytes"
"130","Common myeloid progenitors"
"131","Hematopoietic stem cells_CD133+ CD34dim"
"132","Erythroid_CD34+ CD71+ GlyA-"
"133","Megakaryocyte/erythroid progenitors"
"134","Hematopoietic stem cells_CD133+ CD34dim"
"135","Megakaryocyte/erythroid progenitors"
"136","Early B cells"
"137","Hematopoietic stem cells_CD133+ CD34dim"
"138","Early B cells"
"139","Early B cells"
"140","Hematopoietic stem cells_CD133+ CD34dim"
"141","Hematopoietic stem cells_CD133+ CD34dim"
"142","Hematopoietic stem cells_CD133+ CD34dim"
"143","Hematopoietic stem cells_CD133+ CD34dim"
"144","Erythroid_CD34+ CD71+ GlyA-"
"145","Hematopoietic stem cells_CD133+ CD34dim"
"146","Hematopoietic stem cells_CD133+ CD34dim"
"147","Megakaryocyte/erythroid progenitors"
"148","Common myeloid progenitors"
"149","Myeloid Dendritic Cells"
"150","Myeloid Dendritic Cells"
"151","Colony Forming Unit-Monocytes"
"152","Hematopoietic stem cells_CD133+ CD34dim"
"153","Hematopoietic stem cells_CD133+ CD34dim"
"154","Common myeloid progenitors"
"155","Hematopoietic stem cells_CD133+ CD34dim"
"156","Common myeloid progenitors"
"157","Megakaryocyte/erythroid progenitors"
"158","Hematopoietic stem cells_CD133+ CD34dim"
"159","Early B cells"
"160","Early B cells"
"161","Hematopoietic stem cells_CD133+ CD34dim"
"162","Hematopoietic stem cells_CD133+ CD34dim"
"163","Hematopoietic stem cells_CD133+ CD34dim"
"164","Hematopoietic stem cells_CD133+ CD34dim"
"165","Early B cells"
"166","Common myeloid progenitors"
"167","Erythroid_CD34+ CD71+ GlyA-"
"168","Hematopoietic stem cells_CD133+ CD34dim"
"169","Erythroid_CD34+ CD71+ GlyA-"
"170","Common myeloid progenitors"
"171","Hematopoietic stem cells_CD133+ CD34dim"
"172","Early B cells"
"173","Erythroid_CD34- CD71+ GlyA+"
"174","Hematopoietic stem cells_CD133+ CD34dim"
"175","Mature B cells class able to switch"
"176","Hematopoietic stem cells_CD133+ CD34dim"
"177","Hematopoietic stem cells_CD133+ CD34dim"
"178","Common myeloid progenitors"
"179","Megakaryocyte/erythroid progenitors"
"180","Hematopoietic stem cells_CD133+ CD34dim"
"181","Early B cells"
"182","Hematopoietic stem cells_CD133+ CD34dim"
"183","Erythroid_CD34+ CD71+ GlyA-"
"184","Common myeloid progenitors"
"185","Early B cells"
"186","Hematopoietic stem cells_CD133+ CD34dim"
"187","Early B cells"
"188","Hematopoietic stem cells_CD133+ CD34dim"
"189","Common myeloid progenitors"
"190","Common myeloid progenitors"
"191","Erythroid_CD34+ CD71+ GlyA-"
"192","Erythroid_CD34+ CD71+ GlyA-"
"193","Hematopoietic stem cells_CD133+ CD34dim"
"194","Erythroid_CD34+ CD71+ GlyA-"
"195","Early B cells"
"196","Common myeloid progenitors"
"197","Hematopoietic stem cells_CD133+ CD34dim"
"198","Early B cells"
"199","Common myeloid progenitors"
"200","Colony Forming Unit-Monocytes"
"201","Early B cells"
"202","Plasmacytoid Dendritic Cells"
"203","Hematopoietic stem cells_CD133+ CD34dim"
"204","Hematopoietic stem cells_CD133+ CD34dim"
"205","Common myeloid progenitors"
