,Area,Volume,Circularity,Eccentricity,AspectRatio,Orientation,Dry Mass,Dry Mass Density,Dry Mass var,Dry Mass Skewness,Peak Phase,Phase Var,Phase Skewness,Phase Kurtosis,Phase Range,Phase Min,Phase Centroid Displacement,Phase STD Mean,Phase STD Variance,Phase STD Skewness,Phase STD Kurtosis,Phase STD Centroid Displacement,Phase STD Radial Distribution,Phase Entropy Mean,Phase Entropy Var,Phase Entropy Skewness,Phase Entropy Kurtosis,Phase Entropy Centroid Displacement,Phase Entropy Radial Distribution,Phase Fiber Centroid Displacement,Phase Fiber Radial Distribution,Phase Fiber Pixel >Upper Percentile,Phase Fiber Pixel >Median,Mean Phase Arrangement,Phase Arrangement Var,Phase Arrangement Skewness,Phase Orientation Var,Phase Orientation Kurtosis
0,-0.18514483,-2.691751,0.069046326,-0.01611842,-0.22251603,-0.568748,-2.114171,-1.2536169,-0.24264346,-0.5066895,-0.8169564,-0.95448774,10.309956,0.29815677,-0.8164665,-0.34183344,1.1188357,-1.3253154,-1.2722595,-0.40654066,-0.40232128,0.091643676,-1.3674738,0.722426,0.25189075,0.6141152,-0.12977253,-0.14341132,0.76756674,-1.3517661,0.6034092,0.70651186,0.32465872,0.47656548,0.37723708,0.04649806,-0.15992641,-0.083414756
1,-4.267226,-26.662579,0.5680452,-0.39833716,-0.52259773,-0.39665893,-3.9830637,0.044568494,2.862561,3.8259141,-1.2920332,-0.7659539,0.9609621,-0.87526304,-1.2933944,0.8120555,-0.32084706,-0.64676434,-0.61157393,-1.4779158,-1.0397128,-0.010684619,-0.59986115,1.431498,0.50647223,-0.14960812,-0.7188097,-0.39103338,1.1948571,1.0992671,-2.2995806,-2.4557316,-1.9071208,-0.7671665,-0.8753249,-0.95918655,-0.9617216,0.44998902
2,-2.947118,-21.488708,0.48853457,-1.9014657,-1.3220952,-0.4013294,-2.9499474,0.25728694,-0.15795876,-0.36410296,-1.1849853,-0.73264223,-8.8891535,-0.25048485,-1.1836584,-0.88569146,-0.7144362,-0.302678,0.23865522,-0.12175659,-0.58012587,-1.3094481,-0.1588184,0.5830711,0.40559766,0.24836148,-0.61216724,0.39336032,0.41229904,0.44869804,0.867544,0.779951,0.8967596,0.15812755,-0.06078685,-0.6772283,1.5332919,-0.10368342
3,-4.065365,-24.925446,0.33104795,0.042481747,-0.17186175,0.62063664,-1.1637237,2.8136172,1.3797956,0.66803867,0.76164895,1.2728804,-2.1722176,-0.73529744,0.76085705,0.5306978,-0.7217525,2.4659865,1.8744838,-1.2579565,-1.0266967,0.30795738,2.6056921,0.041909654,0.50355744,0.6785281,-0.14148933,0.99508125,-0.048968505,1.1172594,0.7882486,0.7360001,1.7380482,-0.16330235,-0.1560225,-0.08471663,-0.7791022,-1.1603916
4,-0.7747076,-5.702731,0.1260778,0.460752,0.23179685,-0.3570338,-2.5037365,-1.2622708,-0.19658178,0.003231203,-1.4645631,-1.0618565,-3.6528075,-0.36484972,-1.4643087,-0.21769379,-0.70160514,-1.4359843,-1.5028638,0.073347375,-0.18214354,-0.23301019,-1.4850941,1.1803906,1.0161691,0.021751748,-0.83868235,0.288052,1.2086883,0.7053583,0.41772416,0.8817257,0.6453944,-0.36565045,-0.42520663,-0.49226397,-0.25776932,0.8383204
5,1.1157383,2.5316346,0.8421478,-0.957112,-0.8810719,-0.47079194,-1.8053187,-1.467584,-0.23946129,1.0367631,-1.3979366,-1.1901454,4.864524,-0.107246965,-1.3965238,-0.94831663,0.5895692,-1.7017391,-2.4645705,-0.96538436,-0.28664505,-1.2473524,-1.8390296,0.32638615,0.13857722,1.0461226,0.9725345,0.04938802,0.3475253,-1.0194097,0.37962708,-0.06706256,0.67157537,-0.042594407,-0.12116832,-0.36075225,1.2891395,1.6193048
6,0.538992,0.12205608,0.45764214,-0.5088378,-0.600448,-0.5495256,0.4862182,0.19177794,-0.16844453,-0.40057573,0.19107983,-0.16547488,3.6797814,0.52009773,0.19261499,-0.96465576,0.5935041,-0.13569003,-0.6421077,-0.111016504,0.04346809,-0.17400527,-0.1880712,-0.51530033,-0.17541373,0.8415664,0.6244335,0.28690532,-0.4452553,-0.2687669,-0.14359033,-0.48620984,-0.30190063,0.16847326,0.1776274,-0.018308397,-0.3604507,-0.60366714
7,0.8113444,3.425915,0.5915252,0.18421856,-0.04367146,-0.48085254,-1.4507252,-1.3166591,-0.28205985,-0.45023072,-1.3074771,-1.0643312,-3.0066526,-0.06111219,-1.3063414,-0.76945776,-0.33180803,-1.6168059,-1.4806219,0.12638837,0.039796256,-0.4242891,-1.5640535,0.56153023,1.0644827,0.49044234,-0.19553068,0.68288505,0.62851936,0.7076992,-0.5444352,-0.8332305,-0.58103,0.14067642,0.12878293,0.03168253,0.40674224,0.6396292
8,4.624277,39.975098,-0.35592324,1.892341,2.5022695,2.9072173,6.4240055,-0.010953519,-0.024157675,0.15307423,2.6868079,1.6785791,17.89996,2.2048476,2.6878846,-0.5782899,2.4795156,0.5309444,-0.11407503,1.318855,1.670099,0.058643024,0.3244546,-2.8288314,-1.846455,-2.8596988,-0.92546624,0.8198652,-2.7902317,0.66990656,0.47477034,-0.19427188,-0.25236017,0.65225023,1.3987747,3.0585947,-5.05224,-0.9433421
9,-0.5888671,-0.49587473,-0.6008498,1.5396007,1.7597982,-0.3693819,-1.6716982,-1.1449717,-0.19292183,-0.45177957,0.05866607,-0.17977291,3.058294,-1.064861,0.06012935,-0.92391795,0.25836256,-0.36745423,-0.49376017,0.007817572,0.23191702,0.9443089,-0.49267712,0.41837385,-1.6478345,-2.030531,-1.7421526,-1.6735162,0.3154541,0.0867613,-1.2179021,-0.77849835,-0.656149,-0.9086019,-0.6641509,0.26441368,0.6837849,0.040864795
10,-0.39021015,-3.1325974,-1.3086163,0.2721607,0.040129185,-0.46612042,-0.9694606,-0.43865225,-0.19347575,-0.47213647,-0.67839056,-0.49225786,-2.0726237,0.018356668,-0.6784344,0.0014154484,-0.5017825,-0.6706908,-0.7256783,-0.7600106,-0.49152642,-0.7423087,-0.6397503,-0.15774295,-0.06841854,1.2089478,1.1417032,0.2675765,-0.23683897,-0.8472738,0.096751295,-0.12813932,0.07500247,-0.5765419,-0.6914922,-0.7990374,0.46305722,-0.04632542
