,Dry Mass,Area,Volume,Phase Entropy Mean,Phase Entropy Radial Distribution,Phase Range,Peak Phase,Orientation
0,-1.44854,-1.0962838,-10.265756,-0.7321847,-0.95196295,-0.46254307,-0.46185243,-0.08492339
1,-1.8362256,-3.262485,-20.682009,1.1607046,1.1365534,0.416952,0.41747585,-0.2073907
2,3.7463746,2.511816,13.01083,-2.189625,-2.2997866,0.58432484,0.58357924,-0.76727897
3,-1.068535,-0.41557354,-6.4759645,0.47209153,0.59269863,-0.7656264,-0.76553214,0.3692078
4,-0.31214216,-1.2002347,-9.935535,0.15972896,0.04799599,0.8194209,0.82005,0.51589084
5,-0.90414387,0.68429327,7.2063217,0.15755329,-0.0036721597,-0.45923793,-0.45957512,9.5490675
6,-0.3169131,-1.4483753,-9.280727,-0.2703086,-0.3173283,0.45417276,0.4547734,-1.5870192
7,-2.6540089,-2.2632158,-14.940672,0.25689107,-0.020975558,-0.31224284,-0.31310448,0.118081056
8,-3.9815254,-4.244988,-25.049683,0.9563501,0.7620193,-0.86424726,-0.86582,0.8294413
9,-0.83015394,-1.7602277,-10.728676,0.28555912,0.3307272,0.049112495,0.047855567,-1.0565503
10,0.352811,-0.6804805,-6.831537,-0.71760356,-0.86547077,0.2579506,0.2568884,-0.99953574
11,-0.28885376,1.6030844,12.350891,-0.20742816,-0.22295304,0.1478601,0.14705253,-1.4562095
12,-2.2478032,-1.8876514,-12.801575,0.2367726,0.15478861,-0.7820689,-0.78220105,-0.524189
13,-3.3702507,-3.1350613,-18.873558,0.3198687,0.085170604,-0.92143005,-0.92146826,-0.7073459
14,-2.3558974,-3.5340981,-18.226624,0.6587116,0.6486387,1.2873975,1.2877198,-0.15020345
15,-0.0025159102,0.2014249,-1.0602183,-0.12536366,-0.10298611,-0.0053165774,-0.006788379,-0.7386154
16,2.5664747,3.3836613,21.148392,-1.224418,-1.1689756,-0.3801628,-0.38095418,-1.535275
17,0.8401532,0.36238104,1.0369556,-1.2872788,-1.4500331,0.52401507,0.52327,-0.16067891
18,-1.4755511,-2.028488,-14.005195,0.44073832,0.4238103,-0.15028526,-0.15036814,-0.31715703
19,2.5818954,2.099366,10.56986,-1.6051044,-1.6862615,0.41556978,0.41496104,-1.2165608
20,-2.2013621,-1.4483753,-9.226309,0.59693706,0.53647596,-0.4724664,-0.4737004,-0.98488104
21,1.8370125,1.5460792,7.0378394,-1.4311887,-1.509846,0.34839636,0.34986028,-0.9497037
22,-3.4709122,-5.053122,-28.87192,1.9574311,2.0235128,0.20714451,0.20582469,-0.93164885
23,-2.0479612,-1.8440591,-13.4908905,-0.44510952,-0.7081947,-1.0623244,-1.0636681,-0.8550763
24,-3.00007,-2.5381825,-15.595813,0.867608,0.78130716,-0.6541174,-0.6548989,-0.6587793
25,-1.4904199,-1.2270607,-7.237154,0.39952886,0.37506625,-0.11423298,-0.115802005,-1.081219
26,-2.9380178,-2.7427306,-17.387072,0.3068191,0.19124308,-0.4630651,-0.4600428,0.31669855
27,3.0997643,2.793489,24.250187,-1.6368159,-1.70737,0.8353714,0.83521295,-1.6879306
28,-1.8712718,-2.1391454,-12.218468,-0.09301251,-0.14296532,-0.37794468,-0.379403,-0.9174376
