"","cell_id","group_id"
"1","C1","M3"
"2","C10","M5"
"3","C100","M3"
"4","C1000","M7"
"5","C101","M3"
"6","C102","M7"
"7","C103","M6"
"8","C104","M2"
"9","C105","M3"
"10","C106","M2"
"11","C107","M1"
"12","C108","M7"
"13","C109","M7"
"14","C11","M7"
"15","C110","M3"
"16","C111","M5"
"17","C112","M5"
"18","C113","M2"
"19","C114","M1"
"20","C115","M5"
"21","C116","M3"
"22","C117","M5"
"23","C118","M8"
"24","C119","M4"
"25","C12","M6"
"26","C120","M3"
"27","C121","M1"
"28","C122","M5"
"29","C123","M3"
"30","C124","M5"
"31","C125","M7"
"32","C126","M7"
"33","C127","M5"
"34","C128","M7"
"35","C129","M5"
"36","C13","M6"
"37","C130","M5"
"38","C131","M5"
"39","C132","M3"
"40","C133","M7"
"41","C134","M7"
"42","C135","M6"
"43","C136","M2"
"44","C137","M7"
"45","C138","M8"
"46","C139","M7"
"47","C14","M5"
"48","C140","M2"
"49","C141","M7"
"50","C142","M4"
"51","C143","M3"
"52","C144","M5"
"53","C145","M5"
"54","C146","M8"
"55","C147","M1"
"56","C148","M5"
"57","C149","M3"
"58","C15","M8"
"59","C150","M7"
"60","C151","M5"
"61","C152","M4"
"62","C153","M1"
"63","C154","M8"
"64","C155","M3"
"65","C156","M7"
"66","C157","M1"
"67","C158","M7"
"68","C159","M3"
"69","C16","M7"
"70","C160","M3"
"71","C161","M2"
"72","C162","M7"
"73","C163","M7"
"74","C164","M7"
"75","C165","M3"
"76","C166","M1"
"77","C167","M8"
"78","C168","M2"
"79","C169","M8"
"80","C17","M1"
"81","C170","M4"
"82","C171","M7"
"83","C172","M6"
"84","C173","M3"
"85","C174","M7"
"86","C175","M6"
"87","C176","M8"
"88","C177","M3"
"89","C178","M8"
"90","C179","M7"
"91","C18","M5"
"92","C180","M3"
"93","C181","M7"
"94","C182","M3"
"95","C183","M1"
"96","C184","M5"
"97","C185","M7"
"98","C186","M5"
"99","C187","M4"
"100","C188","M1"
"101","C189","M6"
"102","C19","M7"
"103","C190","M5"
"104","C191","M4"
"105","C192","M3"
"106","C193","M3"
"107","C194","M5"
"108","C195","M6"
"109","C196","M7"
"110","C197","M7"
"111","C198","M5"
